ticker,name,bucket,price,rsi14,px_vs_sma200,mom_3m,mom_6m,mom_12m,volatility_ann,max_drawdown_1y,pct_from_52w_high,pos_in_52w_range,distribution_yield,ter,aum,currency,sharpe_proxy,return_ann_3y,score_bond
XGSD.MI,Xtrackers Eurozone Gov Bond,Governativi_EUR,38.6349983215332,43.487197739782516,8.035483909142126,6.253201753902826,14.111511841063074,29.40756548618111,9.009581450068008,-3.338937211713422,-2.07832586862553,91.51728987673653,,,,EUR,1.9013141482185716,20.99451726038124,60.5
IBGS.MI,iShares Euro Gov Bond 1-3y,Governativi_EUR,138.9600067138672,39.59790342986735,-0.19651801364402033,-0.554823202178012,0.46906760705245354,0.46282772461072597,1.3252340642836589,-1.0843422278893344,-0.6462278410803601,42.909739289672785,,,,EUR,1.947845027912168,2.564352977104911,57.3
EUNW.DE,iShares Euro Corp 1-5y,Corporate_EUR,88.9280014038086,33.96458840095396,-0.0864581304508727,-1.0594374006273388,2.758149858535286,1.1687906003058135,3.404468539425393,-2.825294988693905,-1.3561448098105222,66.1290833958635,,,,EUR,1.709702096748436,5.684163916188867,56.0
IHYG.MI,iShares Euro High Yield Corp,Corporate_EUR,88.87999725341797,33.62076671128854,-0.10884221806055638,-1.0934610193919836,2.5595971312806,1.1156619717038518,3.600826970547181,-2.7231859005693693,-1.3857921199236012,64.27774977470253,,,,EUR,1.6353053898816807,5.701503440646394,55.3
EHYA.MI,iShares Euro HY ESG,Corporate_EUR,5.7779998779296875,27.811601009138016,-1.2139692992167883,-2.266581483378083,1.1200498834736505,0.5394059390825046,3.828063965788079,-3.1419827177304627,-2.6289204066053284,32.46745740460158,0.0,,,EUR,1.6881357764288014,6.144107891202966,54.1
IEAC.MI,iShares Core Euro Corp Bond,Corporate_EUR,115.41000366210938,30.294489564624627,-1.7237186730271636,-2.867071062400517,-0.027750573169282866,-1.0908888332238464,3.1944514956793686,-2.867071062400517,-2.867071062400517,0.0,,,,EUR,1.1904889290632723,3.864807926114855,51.6
IEAG.MI,iShares Euro Aggregate Bond,Governativi_EUR,103.25,30.11067146808287,-2.5907303572625384,-3.7838325905529158,-1.3048757631028307,-2.1167746263049625,3.839675353837009,-4.390786203240394,-4.390786203240394,0.0,0.0,,1681238784.0,EUR,0.5919685021440316,2.4494126175483633,47.3
ITPS.MI,iShares Euro Inflation Linked,Governativi_EUR,219.52000427246094,40.96724737585511,-0.6685351704453502,-3.192798734239144,-0.6427075917688985,1.4464646664083425,5.255054977151814,-9.728202420128673,-3.4397783898117984,41.858781860528964,0.0,,,EUR,0.18866145453658334,1.3354486451392145,44.6
IBGM.MI,iShares Euro Gov Bond 3-5y,Governativi_EUR,176.4499969482422,29.68529970016054,-3.789116179122498,-5.282085293103666,-2.2573365148353175,-3.239054988551515,5.096407483793916,-6.264067895530379,-6.264067895530379,0.0,,,1021087936.0,EUR,0.39587358455440136,2.216553681587574,44.3
IBTM.MI,US Treasury 7-10y (confronto),Paesi_singoli,144.0,39.71833023720917,-1.8379855766198716,-4.274408687660902,-2.214152943118386,0.20854694175040933,5.420639895868751,-9.017761250375845,-4.585209550028502,15.617598079803516,,,,EUR,0.11457241729999428,0.8364008251679156,42.7
IBGL.MI,iShares Euro Gov Bond 15-30y,Governativi_EUR,150.38999938964844,32.35066286142839,-6.338184386347024,-8.915269315176932,-4.919922484718242,-6.288740083190003,9.003773019505903,-16.113158168889697,-10.419323112283429,0.0,,,972788800.0,EUR,0.06048863056996181,0.6508854821465127,36.4
